09:21:32.861 [background-preinit] INFO  org.hibernate.validator.internal.util.Version.<clinit>  line : 21 - HV000001: Hibernate Validator 6.0.12.Final
09:21:36.262 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start  line : 206 - Tomcat started on port(s): 8080 (http) with context path ''
09:21:38.417 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/].log  line : 180 - Initializing Spring FrameworkServlet 'dispatcherServlet'
09:21:38.417 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet.initServletBean  line : 494 - FrameworkServlet 'dispatcherServlet': initialization started
09:21:38.433 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet.initServletBean  line : 509 - FrameworkServlet 'dispatcherServlet': initialization completed in 15 ms
10:33:05.249 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext.prepareRefresh  line : 590 - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1c3b9394: startup date [Wed Nov 27 10:33:05 CST 2019]; root of context hierarchy
10:33:06.362 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize  line : 91 - Tomcat initialized with port(s): 8080 (http)
10:33:06.387 [main] INFO  org.apache.coyote.http11.Http11NioProtocol.log  line : 180 - Initializing ProtocolHandler ["http-nio-8080"]
10:33:06.398 [main] INFO  org.apache.catalina.core.StandardService.log  line : 180 - Starting service [Tomcat]
10:33:06.399 [main] INFO  org.apache.catalina.core.StandardEngine.log  line : 180 - Starting Servlet Engine: Apache Tomcat/8.5.34
10:33:06.408 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener.log  line : 180 - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\jre\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:\jre\bin;D:/jre/bin/server;D:/jre/bin;D:/jre/lib/amd64;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\iCLS\;C:\Program Files\Intel\Intel(R) Management Engine Components\iCLS\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\java\bin;D:\java\jre\bin;E:\apache-maven-3.6.1-bin\apache-maven-3.6.1\bin\;C:\Program Files\Git\cmd;C:\OpenSSL-Win64\bin\;C:\Users\easy\AppData\Local\Microsoft\WindowsApps;;C:\Program Files (x86)\SSH Communications Security\SSH Secure Shell;D:\eclipse\eclipse;;.]
